start_date,end_date,days,total_trip_days,city,state,country,latitude,longitude,memory
2/8/19,2/10/19,3,3,Northstar Resort,California,USA,39.2746,-120.1211,Powder lesson under the ski lift </br>Laughing when I got stuck 
2/1/19,2/3/19,3,4,Marietta,Georgia,USA,33.9526,-84.5499,David & Caitlin's wedding </br>Sitting with the bride & groom
2/3/19,2/3/19,1,,Augusta,Georgia,USA,33.4735,-82.0105,Your parent's anniversary & </br>taking pictures with your whole family
1/12/19,1/13/19,2,2,Heavenly Resort,California,USA,38.9347,-119.9404,Being squished together in the </br>bench seat of the truck
12/29/18,1/2/19,5,5,San Diego,California,USA,32.7157,-117.1611,Riding scooters together down the boardwalk
10/20/18,10/21/18,2,2,South Lake Tahoe,California,USA,38.9399,-119.9772,"Door to door canvassing with a bottle </br>of wine, a dog, and good friends"
9/10/18,9/12/18,3,19,Barcelona,Abroad,Spain,41.3851,2.1734,Lounging on Barcelona beach together
9/9/18,9/10/18,2,,Menorca,Abroad,Spain,39.9496,4.1104,The 36 hour passage; </br>Swimming around the boat in the middle of nowhere; </br>Fireworks on our last night in Menorca
9/3/18,9/8/18,5,,Corsica,Abroad,France,42.0396,9.0129,Sailing into Bonifacio; </br>Sunset from the cliffs; </br>Climbing to the top of the medieval lookout tower
8/28/18,9/3/18,5,,Sardinia,Abroad,Italy,40.1209,9.0129,Snorkling around the boat; </br>That helicoptor on the super yacht; </br>The bronze age village ruins; </br>Abellaaa!!!; The racing yachts
8/25/18,8/28/18,4,,Barcelona,Abroad,Spain,41.3851,2.1734,Walking through the Sagrada Familia
7/4/18,7/7/18,4,,Portland,Oregon,USA,45.5122,-122.6587,Brunch in Northwest Portland; </br>Seeing the fireworks across the valley </br>from my brother's deck
6/16/18,6/16/18,1,1,Angel Island,California,USA,37.8609,-122.4326,Hiking to the top; </br>The Civil War reenactors; </br>Pumping water in the old fort building
6/5/18,6/7/18,3,3,Yosemite,California,USA,37.7459,-119.5332,Hiking to the top of Half Dome; </br>Peaking over the edge at the top
3/23/18,3/25/18,3,3,Rome,Georgia,USA,34.257,-85.1647,The flower garden at Henry & </br>Adrienne's wedding
12/29/17,1/1/18,4,4,Charleston,South Carolina,USA,32.7765,-79.9311,Riding bicycles around the city </br>and by the waterfront
11/17/17,11/19/17,3,3,Mobile,Alabama,USA,30.6954,-88.0399,The architecture of the old downtown area; </br>The wrought iron details on the balconies
9/21/17,9/24/17,4,4,Augusta,Georgia,USA,33.4735,-82.0105,Jimmy & Sam's wedding; </br>Karaoke at that downstairs British pub
7/29/17,7/30/17,1,16,Robben Island,Abroad,South Africa,-33.8076,18.3712,The views of the city from the ferry ride over; </br>Seeing the cell where Nelson Mandela was imprisoned 
7/28/17,7/28/17,1,,Franschoek,Abroad,South Africa,-33.8975,19.1523,Filling our entire room with smoke when </br>we couldn't figure out the wood burning stove; </br>The super fancy breakfast
7/24/17,7/28/17,4,,Cape Town,Abroad,South Africa,-33.9249,18.4241,Hiking both up and down Table Mountain; </br>Eating amazing food for so cheap; </br>Stumbling upon the Silo bar and restaurant
7/22/17,7/23/17,2,,Piggs Peak,Abroad,Swaziland,-25.9685,31.2483,Serving all the townie kids eggs </br>and goat stew for lunch
7/21/17,7/21/17,1,,Hlane Royal National Park,Abroad,Swaziland,-26.15,31.5248,"The elephants, impala, hippos, and rhinos"
7/17/17,7/20/17,6,,Manzini,Abroad,Swaziland,-26.5082,31.3713,Staying at Nkonyeni golf resort; </br>Bible camp with the kids; </br>The cultural celebration at Project Caanan
